City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
0,Payo,ID,72.25,broken clouds,-3.7508,103.6372,Mess keban agung
1,Waingapu,ID,77.36,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
7,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
10,Broome,US,75.7,broken clouds,42.2506,-75.833,Chenango Valley State Park
12,Kavieng,PG,82.85,few clouds,-2.5744,150.7967,Nusa Island Retreat
13,Carnarvon,AU,70.66,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
16,Puttur,IN,75.31,overcast clouds,12.7667,75.2167,Hotel Super Tower
18,Rikitea,PF,75.51,light rain,-23.1203,-134.9692,People ThankYou
21,Geraldton,AU,66.61,light rain,-28.7667,114.6,Broadwater Mariner Resort
23,Tripoli,LY,69.6,clear sky,32.8752,13.1875,Al Waddan Hotel
24,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
29,Hithadhoo,MV,83.79,overcast clouds,-0.6,73.0833,Scoop Guest House
35,Hamilton,US,70.2,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
37,Kailua,US,84.18,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
38,Atuona,PF,77.59,light rain,-9.8,-139.0333,Villa Enata
46,Meulaboh,ID,77.18,overcast clouds,4.1363,96.1285,Kost Pria
49,Lorengau,PG,83.73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
54,Kalmunai,LK,80.82,scattered clouds,7.4167,81.8167,VS Villa
55,Pisco,PE,68.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
59,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
61,Nome,US,66.27,clear sky,64.5011,-165.4064,Dredge 7 Inn
65,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
66,Amuntai,ID,74.23,moderate rain,-2.4177,115.2494,Hotel Balqis
67,El Reno,US,71.33,clear sky,35.5323,-97.955,Home2 Suites by Hilton El Reno
