City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
0,Payo,ID,2022-05-22 21:11:34,-3.7508,103.6372,72.25,98,66,2.1,broken clouds
1,Waingapu,ID,2022-05-22 21:11:34,-9.6567,120.2641,77.36,82,34,7.99,scattered clouds
2,Lebu,CL,2022-05-22 21:18:51,-37.6167,-73.65,51.78,82,100,10.33,overcast clouds
3,Mataura,NZ,2022-05-22 21:18:51,-46.1927,168.8643,44.2,87,96,7.47,overcast clouds
4,Hilo,US,2022-05-22 21:11:35,19.7297,-155.09,89.28,66,75,8.05,broken clouds
5,Saint George,US,2022-05-22 21:07:00,37.1041,-113.5841,89.64,11,0,11.5,clear sky
6,Ostersund,SE,2022-05-22 21:08:56,63.1792,14.6357,52.25,46,40,5.01,scattered clouds
7,Souillac,MU,2022-05-22 21:09:13,-20.5167,57.5167,73.78,78,20,8.05,few clouds
8,Aklavik,CA,2022-05-22 21:18:52,68.2191,-135.0107,35.15,63,98,8.77,overcast clouds
9,Iqaluit,CA,2022-05-22 21:18:52,63.7506,-68.5145,26.33,86,100,24.16,light snow
10,Broome,US,2022-05-22 21:18:52,42.2506,-75.833,75.7,86,75,13.8,broken clouds
11,Cape Town,ZA,2022-05-22 21:16:49,-33.9258,18.4232,62.38,86,0,4.61,clear sky
12,Kavieng,PG,2022-05-22 21:09:11,-2.5744,150.7967,82.85,69,12,16.62,few clouds
13,Carnarvon,AU,2022-05-22 21:18:53,-24.8667,113.6333,70.66,56,36,17.76,scattered clouds
14,Bluff,NZ,2022-05-22 21:18:53,-46.6,168.3333,51.01,74,100,27.04,overcast clouds
15,Port Macquarie,AU,2022-05-22 21:11:36,-31.4333,152.9167,55.89,85,100,5.53,light rain
16,Puttur,IN,2022-05-22 21:11:37,12.7667,75.2167,75.31,98,100,1.83,overcast clouds
17,Mikuni,JP,2022-05-22 21:18:54,36.2171,136.1519,62.51,91,1,4.56,clear sky
18,Rikitea,PF,2022-05-22 21:18:54,-23.1203,-134.9692,75.51,78,10,14.09,light rain
19,Passo Fundo,BR,2022-05-22 21:11:37,-28.2628,-52.4067,54.01,78,100,2.04,overcast clouds
20,Sundsvall,SE,2022-05-22 21:11:37,62.3913,17.3063,42.76,81,0,2.3,clear sky
21,Geraldton,AU,2022-05-22 21:05:48,-28.7667,114.6,66.61,63,40,16.11,light rain
22,Hermanus,ZA,2022-05-22 21:18:55,-34.4187,19.2345,59.86,83,87,7.4,overcast clouds
23,Tripoli,LY,2022-05-22 21:11:38,32.8752,13.1875,69.6,45,0,10.33,clear sky
24,Avarua,CK,2022-05-22 21:18:55,-21.2078,-159.775,82.45,83,75,13.8,broken clouds
25,Hobart,AU,2022-05-22 21:15:54,-42.8794,147.3294,50.25,88,75,10.36,broken clouds
26,Castro,BR,2022-05-22 21:18:56,-24.7911,-50.0119,51.76,74,2,3.87,clear sky
27,Busselton,AU,2022-05-22 21:18:56,-33.65,115.3333,60.64,69,75,23.53,broken clouds
28,Kaeo,NZ,2022-05-22 21:11:39,-35.1,173.7833,58.08,79,100,4.18,overcast clouds
